shift_angstrom,target_lr_es_kj_mol,predicted_lr_es_kj_mol,error_lr_es_kj_mol,target_lr_pol_kj_mol,predicted_lr_pol_kj_mol,error_lr_pol_kj_mol,target_sr_es_total_kj_mol,predicted_sr_es_total_kj_mol,error_sr_es_total_kj_mol,target_sr_pol_total_kj_mol,predicted_sr_pol_total_kj_mol,error_sr_pol_total_kj_mol,target_exchange_kj_mol,predicted_exchange_kj_mol,error_exchange_kj_mol,target_dispersion_total_kj_mol,predicted_dispersion_total_kj_mol,error_dispersion_total_kj_mol,target_ct_like_kj_mol,predicted_ct_like_kj_mol,error_ct_like_kj_mol
0.22500000,-2.03048253,-1.21059227,0.81989026,-0.19693109,-4.51499176,-4.31806067,2.05456688,-0.17039873,-2.22496561,0.19575030,-0.81611115,-1.01186145,0.54462435,0.32099551,-0.22362884,-2.91228786,-55.32440186,-52.41211399,-0.03277225,-1.66547143,-1.63269918
0.65000000,-1.53132987,-0.89884377,0.63248610,-0.11204419,-3.41964149,-3.30759730,1.64460591,-0.10923358,-1.75383949,0.10992897,-0.34520513,-0.45513410,0.12294516,0.12660232,0.00365716,-1.69067335,-33.76518250,-32.07450914,-0.00958011,-1.35069418,-1.34111407
1.28750000,-1.02079165,-0.58859634,0.43219531,-0.05185678,-2.33691216,-2.28505537,1.12047577,-0.05689387,-1.17736964,0.05096180,-0.10398752,-0.15494932,0.01299252,0.03173361,0.01874109,-0.82264562,-17.44329453,-16.62064891,-0.00224005,-0.98815328,-0.98591323
1.92500000,-0.69613689,-0.39478683,0.30135006,-0.02589035,-1.65477598,-1.62888562,0.76683691,-0.03009578,-0.79693269,0.02570418,-0.03410889,-0.05981307,0.00132877,0.00808586,0.00675709,-0.44014834,-9.71563053,-9.27548219,-0.00073630,-0.72532254,-0.72458625
2.56250000,-0.48512995,-0.27017403,0.21495593,-0.01376895,-1.20639539,-1.19262644,0.53473847,-0.01613228,-0.55087076,0.01384270,-0.01195479,-0.02579749,0.00013037,0.00209640,0.00196603,-0.25338385,-5.73924017,-5.48585632,-0.00029119,-0.53478110,-0.53448990
-1.20000000,-13.58190536,-20.22464371,-6.64273834,-15.35604191,-40.41696167,-25.06091976,-135.62802505,-4.25623322,131.37179184,22.44399643,-167.54275513,-189.98675156,431.20842942,29.46434784,-401.74408158,-85.71752930,-1768.68591309,-1682.96838379,-24.49494472,-4.77329254,19.72165218
-0.93333300,-11.87469387,-15.93815613,-4.06346226,-8.09158325,-29.74122047,-21.64963722,-55.77683353,-3.06299520,52.71383834,10.77048111,-86.55977631,-97.33025742,205.45822294,19.03473091,-186.42349203,-55.86085129,-1073.71289062,-1017.85203934,-12.39710853,-4.27596283,8.12114570
-0.66666700,-9.90171051,-12.42674255,-2.52503204,-4.56753302,-22.40082932,-17.83329630,-20.74223328,-2.15647244,18.58576083,5.21719325,-49.87923813,-55.09643137,99.02254836,12.54009056,-86.48245780,-37.67154884,-691.17938232,-653.50783348,-6.11786653,-3.82070780,2.29715874
-0.40000000,-8.06376934,-9.63683510,-1.57306576,-2.69627166,-17.21105385,-14.51478219,-5.93702507,-1.49127150,4.44575357,2.58352369,-30.58033752,-33.16386122,48.80822146,8.38876915,-40.41945231,-25.96942043,-463.74011230,-437.77069187,-3.03596103,-3.40570307,-0.36974203
-0.13333300,-6.50177670,-7.46266747,-0.96089077,-1.64463079,-13.44998169,-11.80535090,0.03279114,-1.01561213,-1.04840326,1.34879085,-19.07630539,-20.42509624,24.63264584,5.65788221,-18.97476363,-18.15252757,-319.55932617,-301.40679860,-1.52839951,-3.02904248,-1.50064297
0.40000000,-4.21459007,-4.50619888,-0.29160881,-0.66270041,-8.56732178,-7.90462136,2.82202172,-0.45211262,-3.27413434,0.47392324,-7.26936865,-7.74329188,6.50590637,2.56812763,-3.93777874,-9.09043205,-159.31274414,-150.22231209,-0.38856854,-2.38242626,-1.99385772
