#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
100,0.02500000000000002,633737748728935.1,604648111904431.5,1238385860633366.5,40347388421944.22,34.6725562948133,0.43140331191399917,0
200,0.05000000000000004,906857193527839.5,998584712431157.6,1905441905958997.0,66585561994746.85,34.6725562948133,0.43140331191399917,92
300,0.07500000000000005,2265817730905893.0,1820504854765187.5,4086322585671080.5,121784047461426.86,35.135431861425346,0.4257199876495339,92.2
