#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
100,0.02500000000000002,617841814498308.4,618834460923602.0,1236676275421910.5,41228822144393.28,34.63401108781062,0.4318834333159704,0
200,0.05000000000000004,1131440753289627.2,1035059438687941.6,2166500191977569.0,69024665859334.46,34.94599656880667,0.4280277309778782,91.8
300,0.07500000000000005,2724685677769813.0,1950847047290072.2,4675532725059885.0,129869472954049.17,34.927148891373136,0.42825870684800055,91.9
400,0.10000000000000007,5.259244132099132e+16,4043957205143673.0,5.663639852613499e+16,268541388070807.8,34.43413549151349,0.4343903340275087,92.5
