#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
500000,249.99999999754422,-10517.600480095367,1924.4608582226376,-8593.13962187273,306.7719544148208,7.46752775550219,1.0095241257265914,98.2
510000,254.999999997426,-10143.81578242901,1970.6023841872,-8173.21339824181,314.12722279523547,7.737176896866023,0.9743410974312823,98.2
520000,259.9999999973078,-10501.126442319597,1940.1522636140123,-8560.974178705585,309.27326956439094,7.665095017093799,0.9835037154660954,98.2
530000,264.99999999718955,-10531.266393475235,1932.3463938133773,-8598.919999661857,308.028961619952,7.623553100574343,0.9888629788837514,98.2
540000,269.9999999970713,-10792.994333456736,1900.962986714716,-8892.03134674202,303.02623626406006,7.334379060484047,1.0278510786726198,98.2
550000,274.9999999969531,-10387.528332768008,1973.5060150851295,-8414.022317682879,314.5900810142802,7.6358511279146635,0.9872703517166652,98.2
560000,279.99999999683484,-10522.795885829604,1956.1273550094181,-8566.668530820187,311.81980616365996,7.5214764224584325,1.0022831961824272,98.2
570000,284.9999999967166,-10418.324330070813,1993.3834553473384,-8424.940874723474,317.7586781680995,7.59173540504605,0.9930073990331171,98.2
580000,289.9999999965984,-10615.971499200794,1837.285959196748,-8778.685540004046,292.87569145066516,7.476612093727614,1.0082975195458965,98.2
590000,294.99999999648014,-10443.082521823817,1866.580367636424,-8576.502154187394,297.54541642432076,7.552969356298022,0.9981040665054893,98.2
600000,299.9999999963619,-10272.062123243639,1786.5916898360665,-8485.470433407572,284.7946852701753,7.70169551523363,0.978829845168674,98.2
610000,304.9999999962437,-10493.420759377826,1844.1265503538934,-8649.294209023934,293.9661275121022,7.467280293397213,1.0095575808742976,98.2
620000,309.99999999612544,-10324.721166391508,1752.0704013250893,-8572.650765066419,279.2917605938009,7.608412791080383,0.9908307600699894,98.2
630000,314.9999999960072,-10589.477983616642,1836.8278800100356,-8752.650103606606,292.8026705592378,7.47084672730747,1.0090756381277508,98.2
640000,319.99999999588897,-10534.926849003241,1881.7219455921072,-8653.204903411133,299.95908539687633,7.58556269452679,0.9938154534207151,98.2
650000,324.99999999577074,-10447.317408829287,1779.118130631949,-8668.199278197339,283.6033498612547,7.55789705181828,0.9974533097005809,98.2
660000,329.9999999956525,-10505.904654139886,1833.1632022531267,-8672.741451886759,292.21849637196607,7.432304860870882,1.0143084238109497,98.2
670000,334.99999999553427,-10304.219739235472,1884.5701420179046,-8419.649597217567,300.41310698965964,7.468146822370219,1.0094404419220844,98.2
680000,339.99999999541603,-10335.261100223637,1893.3551173817584,-8441.90598284188,301.8134909207439,7.472233618277676,1.00888834769195,98.2
690000,344.9999999952978,-10524.167266401346,1873.771216418013,-8650.396049983334,298.6916858977705,7.592287245548895,0.9929352229306213,98.2
700000,349.99999999517956,-10634.136987411417,1809.1732566767291,-8824.963730734687,288.394338317864,7.308414428643536,1.0315027291236412,98.2
710000,354.99999999506133,-10333.650602321373,1762.4546076824215,-8571.195994638952,280.9470726598655,7.637347702797147,0.9870768913599948,98.2
720000,359.9999999949431,-10527.347985617933,1871.8889518720694,-8655.459033745863,298.3916403182424,7.528332565851123,1.0013704047703842,98.2
730000,364.99999999482486,-10579.481612343807,1795.2503163593087,-8784.231295984499,286.1749283495468,7.5595103991437025,0.9972404336617275,98.2
740000,369.9999999947066,-10598.242683710007,1946.4424923004826,-8651.800191409524,310.27597416065214,7.4425300029027435,1.0129148859019945,98.2
750000,374.9999999945884,-10423.780676023976,1907.075723965901,-8516.704952058075,304.00064753636934,7.68891836348131,0.9804564273327949,98.2
760000,379.99999999447016,-10573.173577135662,1871.2466796334306,-8701.926897502231,298.28925782027085,7.588230848699359,0.9934660105925147,98.2
770000,384.9999999943519,-10478.89152853284,1852.565977588959,-8626.325550943882,295.3114287563343,7.401093022521152,1.0185859582865227,98.2
780000,389.9999999942337,-10529.44911505736,1745.8433549976253,-8783.605760059734,278.29912768887783,7.654277022230942,0.9848937276266966,98.2
790000,394.99999999411546,-10404.95324999385,1844.9174071436119,-8560.035842850239,294.0921953830112,7.447945182140499,1.012178425640055,98.2
800000,399.9999999939972,-10457.875536750187,1961.781775720588,-8496.093761029599,312.7211587088349,7.81052951864855,0.9651905687972885,98.2
810000,404.999999993879,-10337.143652542843,1903.1859909645377,-8433.957661578306,303.38059803529376,7.692895177565038,0.9799495839612551,98.2
820000,409.99999999376075,-10464.04606165347,1937.5605111466903,-8526.485550506779,308.860126856727,7.454002293873101,1.011355930881438,98.2
830000,414.9999999936425,-10236.488548962749,1768.2056316162436,-8468.282917346505,281.8638244059597,7.684945807236679,0.9809632517660031,98.2
840000,419.9999999935243,-10404.271937703597,1830.1541912038615,-8574.117746499736,291.7388398507674,7.771851145367546,0.9699940577485014,98.2
850000,424.99999999340605,-10285.260576925823,1866.9750961760037,-8418.285480749819,297.60833879815505,7.569482738874337,0.9959266291732746,98.2
860000,429.9999999932878,-10395.309292930702,2022.8774968048237,-8372.431796125878,322.46022598230707,7.606232714890917,0.9911147490864692,98.2
870000,434.9999999931696,-10394.75071761629,1815.1856977629811,-8579.56501985331,289.3527617095131,7.572505339871605,0.9955291003915258,98.2
880000,439.99999999305135,-10354.556625823549,1826.5406842813231,-8528.015941542226,291.16282263733234,7.575630965701752,0.9951183555327894,98.2
890000,444.9999999929331,-10547.27636627393,1823.6084344179649,-8723.667931855965,290.6954023634555,7.594054627608069,0.9927041347985253,98.2
900000,449.9999999928149,-10392.757840789855,1820.7209696512286,-8572.036871138625,290.2351211340345,7.579462426609874,0.9946153176042957,98.2
910000,454.99999999269664,-10554.147636813927,1935.8670003229997,-8618.280636490927,308.5901698851492,7.3154854393895565,1.0305056979706695,98.2
920000,459.9999999925784,-10299.789271730231,1890.548605637237,-8409.240666092994,301.3661141454378,7.694362599085599,0.9797626940025286,98.2
930000,464.9999999924602,-10377.553767414181,1919.833023589447,-8457.720743824735,306.0342465684559,7.635763630866591,0.9872816646966893,98.2
940000,469.99999999234194,-10571.953939693281,1903.6067634168494,-8668.347176276431,303.4476719833078,7.401488042223764,1.0185315960393595,98.2
950000,474.9999999922237,-10517.076671659015,1970.6104198499465,-8546.466251809068,314.1285037337153,7.539024030830286,0.999950311589889,98.2
960000,479.9999999921055,-10289.899717806547,1838.4373010894105,-8451.462416717137,293.0592230621822,7.685990520990957,0.9808299149112721,98.2
970000,484.99999999198724,-10396.767948120949,1833.4073873414427,-8563.360560779507,292.2574211110492,7.611468527372482,0.9904329764488673,98.2
980000,489.999999991869,-10451.325786699133,1887.897428855774,-8563.428357843359,300.94349880396464,7.45047630240725,1.0118345623455867,98.2
990000,494.99999999175077,-10449.092584939091,1874.975571537906,-8574.117013401185,298.8836681728898,7.609402308601439,0.9907019136300549,98.2
1000000,499.99999999163254,-10347.469794175646,1948.6381723486109,-8398.831621827036,310.6259802710681,7.617077736347458,0.9897036225243171,98.2
