#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
100,0.05000000000000004,-10620.25081982388,1405.4826567177058,-9214.768163106173,224.0433520147724,7.892047459594906,0.9552209952243951,0
200,0.10000000000000007,-10539.420233406476,1328.1201269958303,-9211.300106410645,211.71124645915572,7.949976294264195,0.9482606173494433,95.7
300,0.1500000000000001,-10656.85520925495,1453.0926909197979,-9203.762518335152,231.63271044704567,7.973448860496277,0.9454690887981929,95.6
400,0.20000000000000015,-10706.815368303098,1501.863589820173,-9204.951778482924,239.40711848985399,7.897453032515937,0.9545671747174385,95.7
500,0.25000000000000017,-10717.61764456355,1516.9055552090813,-9200.712089354469,241.80490855187574,7.896376276601101,0.9546973402282349,95.4
